5003/tcp I6000-Agent_Custom
10022/tcp SSH_Custom
13389/tcp Microsoft_Remote_Desktop_Custom
15900/tcp VNC_Custom
15901/tcp VNC_Custom
17001/tcp WebLogic_Custom
17002/tcp WebLogic_Custom
17003/tcp WebLogic_Custom
17004/tcp WebLogic_Custom
17005/tcp WebLogic_Custom
17006/tcp WebLogic_Custom
17007/tcp WebLogic_Custom
17008/tcp WebLogic_Custom
17009/tcp WebLogic_Custom
17010/tcp WebLogic_Custom
18080/tcp Apache-Tomcat_Custom
18081/tcp Apache-Tomcat_Custom
18082/tcp Apache-Tomcat_Custom
18083/tcp Apache-Tomcat_Custom
18084/tcp Apache-Tomcat_Custom
18085/tcp Apache-Tomcat_Custom
18086/tcp Apache-Tomcat_Custom
18087/tcp Apache-Tomcat_Custom
18088/tcp Apache-Tomcat_Custom
18089/tcp Apache-Tomcat_Custom
19000/tcp SG-APS_Custom
19001/tcp SG-APS_Custom
19002/tcp SG-APS_Custom
19003/tcp SG-APS_Custom
19004/tcp SG-APS_Custom
19005/tcp SG-APS_Custom
19006/tcp SG-APS_Custom
19007/tcp SG-APS_Custom
19008/tcp SG-APS_Custom
19009/tcp SG-APS_Custom
11521/tcp Oracle_Custom
11522/tcp Oracle_Custom
11523/tcp Oracle_Custom
11524/tcp Oracle_Custom
11525/tcp Oracle_Custom
11526/tcp Oracle_Custom
11527/tcp Oracle_Custom
11528/tcp Oracle_Custom
11529/tcp Oracle_Custom
11530/tcp Oracle_Custom
11433/tcp MSSQL_Custom
11434/tcp MSSQL_Custom
11435/tcp MSSQL_Custom
11436/tcp MSSQL_Custom
11437/tcp MSSQL_Custom
11438/tcp MSSQL_Custom
11439/tcp MSSQL_Custom
11440/tcp MSSQL_Custom
11441/tcp MSSQL_Custom
11442/tcp MSSQL_Custom
13306/tcp MySQL_Custom
13307/tcp MySQL_Custom
13308/tcp MySQL_Custom
13309/tcp MySQL_Custom
13310/tcp MySQL_Custom
13311/tcp MySQL_Custom
13312/tcp MySQL_Custom
13313/tcp MySQL_Custom
13314/tcp MySQL_Custom
13315/tcp MySQL_Custom
15432/tcp PostgreSQL_Custom
15433/tcp PostgreSQL_Custom
15434/tcp PostgreSQL_Custom
15435/tcp PostgreSQL_Custom
15436/tcp PostgreSQL_Custom
15437/tcp PostgreSQL_Custom
15438/tcp PostgreSQL_Custom
15439/tcp PostgreSQL_Custom
15440/tcp PostgreSQL_Custom
15441/tcp PostgreSQL_Custom
37017/tcp MongoDB_Custom
37018/tcp MongoDB_Custom
37019/tcp MongoDB_Custom
37020/tcp MongoDB_Custom
37021/tcp MongoDB_Custom
37022/tcp MongoDB_Custom
37023/tcp MongoDB_Custom
37024/tcp MongoDB_Custom
37025/tcp MongoDB_Custom
37026/tcp MongoDB_Custom
19100/tcp SG-RDB-MySQL_Custom
19101/tcp SG-RDB-MySQL_Custom
19102/tcp SG-RDB-MySQL_Custom
19103/tcp SG-RDB-MySQL_Custom
19104/tcp SG-RDB-MySQL_Custom
19105/tcp SG-RDB-MySQL_Custom
19106/tcp SG-RDB-MySQL_Custom
19107/tcp SG-RDB-MySQL_Custom
19108/tcp SG-RDB-MySQL_Custom
19109/tcp SG-RDB-MySQL_Custom
19200/tcp SG-RDB-PostgreSQL_Custom
19201/tcp SG-RDB-PostgreSQL_Custom
19202/tcp SG-RDB-PostgreSQL_Custom
19203/tcp SG-RDB-PostgreSQL_Custom
19204/tcp SG-RDB-PostgreSQL_Custom
19205/tcp SG-RDB-PostgreSQL_Custom
19206/tcp SG-RDB-PostgreSQL_Custom
19207/tcp SG-RDB-PostgreSQL_Custom
19208/tcp SG-RDB-PostgreSQL_Custom
19209/tcp SG-RDB-PostgreSQL_Custom
20069/tcp TFTP_Custom
20020/tcp FTP_Custom
20021/tcp FTP_Custom
20161/tcp SNMP_Custom
20162/tcp SNMP_Custom
